#{"t_start": 1620663403.6765835, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
27.0,30,530.16678
27.0,30,530.444035
27.0,30,530.719786
27.0,30,530.999039
27.0,30,531.275357
27.0,30,531.553202
27.0,30,531.831463
27.0,30,532.109395
27.0,30,532.385681
27.0,30,532.661941
27.0,30,532.940805
27.0,30,533.217094
27.0,30,533.496347
27.0,30,533.772608
27.0,30,534.04987
27.0,30,534.327132
27.0,30,534.603415
27.0,30,534.88069
27.0,30,535.160957
27.0,30,535.438243
27.0,30,535.715537
27.0,30,535.988859
27.0,30,536.268132
27.0,30,536.546422
27.0,30,536.820705
27.0,30,537.097963
27.0,30,537.374812
27.0,30,537.649103
27.0,30,537.923371
27.0,30,538.203643
27.0,30,538.477905
27.0,30,538.756188
27.0,30,539.034447
27.0,30,539.310709
27.0,30,539.587981
27.0,30,539.86723
27.0,30,540.151443
27.0,30,540.43374
27.0,30,540.709035
27.0,30,540.990282
27.0,30,541.269585
27.0,30,541.546928
27.0,30,541.823217
27.0,30,542.099518
27.0,30,542.376342
27.0,30,542.652603
27.0,30,542.927932
27.0,30,543.207187
27.0,30,543.485471
27.0,30,543.764724
27.0,30,544.043015
27.0,30,544.319324
27.0,30,544.5976
27.0,30,544.869929
27.0,30,545.146767
27.0,30,545.426568
27.0,30,545.702875
27.0,30,545.98118
27.0,30,546.25744
27.0,30,546.535729
27.0,30,546.812986
27.0,30,547.091319
27.0,30,547.36859
27.0,30,547.646931
27.0,30,547.92617
27.0,30,548.201439
27.0,30,548.479695
27.0,30,548.759003
27.0,30,549.034267
27.0,30,549.307564
27.0,30,549.583381
27.0,30,549.859644
27.0,30,550.137901
27.0,30,550.413163
27.0,30,550.692465
27.0,30,550.970251
27.0,30,551.24654
27.0,30,551.524813
27.0,30,551.802145
27.0,30,552.08201
27.0,30,552.360268
27.0,30,552.638553
27.0,30,552.91683
27.0,30,553.192136
27.0,30,553.469424
27.0,30,553.748763
27.0,30,554.026005
