#{"t_start": 1620623953.4428375, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
629.0,62,2151.338073
843.0,83,2158.081078
251.0,15,2159.384011
1460.0,84,2166.672723
251.0,15,2167.974068
251.0,15,2169.287672
251.0,15,2170.147488
251.0,15,2171.466169
251.0,15,2172.748693
251.0,15,2174.036563
630.0,36,2177.290528
246.0,15,2178.16797
1096.0,57,2185.043104
248.0,15,2185.903175
843.0,108,2195.04968
249.0,15,2196.34836
253.0,14,2197.63578
633.0,36,2200.476424
652.0,40,2203.82376
248.0,16,2205.144688
1082.0,199,2222.091447
251.0,15,2223.412789
251.0,15,2224.768134
251.0,15,2226.08664
251.0,15,2226.947784
241.0,20,2228.854237
251.0,15,2230.16508
251.0,15,2231.456217
667.0,36,2234.328223
251.0,15,2235.629231
247.0,16,2236.975626
252.0,15,2238.306937
246.0,16,2239.640435
794.0,106,2248.577853
1459.0,90,2256.081772
246.0,15,2257.478501
1458.0,127,2268.849287
252.0,14,2270.208587
653.0,74,2280.707887
253.0,14,2283.612837
247.0,15,2286.976832
843.0,156,2306.422454
1454.0,94,2316.782526
247.0,15,2318.343501
1376.0,109,2328.222649
636.0,44,2331.757072
843.0,127,2343.272554
1376.0,496,2385.94794
256.0,14,2387.27411
253.0,14,2388.155861
253.0,14,2389.4766
251.0,14,2390.777728
252.0,14,2392.118629
254.0,16,2393.491277
252.0,15,2394.851197
252.0,15,2395.724149
253.0,14,2397.081351
253.0,14,2398.389561
253.0,14,2399.700655
253.0,14,2400.621835
1377.0,173,2415.891208
843.0,306,2442.505582
646.0,53,2448.375819
251.0,14,2449.859395
253.0,14,2450.931376
256.0,14,2452.450574
253.0,14,2453.949127
253.0,14,2455.411264
253.0,14,2456.371656
256.0,14,2457.763698
251.0,15,2459.266714
843.0,97,2469.31207
253.0,14,2471.353703
253.0,14,2472.872092
249.0,17,2474.495182
625.0,38,2478.334107
667.0,77,2485.364317
251.0,14,2486.780776
253.0,14,2488.218592
253.0,14,2489.120178
253.0,14,2490.525053
843.0,86,2498.602814
253.0,15,2500.045463
253.0,14,2501.496319
252.0,14,2502.37896
257.0,14,2503.89658
257.0,14,2505.68184
257.0,14,2507.127364
241.0,17,2508.747713
257.0,14,2509.765973
254.0,14,2511.209763
253.0,14,2512.74408
253.0,14,2514.211496
253.0,14,2515.147622
253.0,14,2516.574708
253.0,14,2518.009564
249.0,15,2519.461713
649.0,37,2522.631066
253.0,14,2524.082904
254.0,16,2525.620413
765.0,229,2552.445338
257.0,15,2554.177385
253.0,14,2555.270074
253.0,14,2556.989828
253.0,14,2558.737978
257.0,14,2560.432428
650.0,38,2564.159612
257.0,14,2565.887753
257.0,14,2567.507838
256.0,14,2569.25802
257.0,14,2570.373318
249.0,17,2572.919772
257.0,14,2574.058249
642.0,62,2581.363637
253.0,14,2582.995355
253.0,14,2584.677191
252.0,15,2585.72303
244.0,18,2587.881629
251.0,14,2588.882151
253.0,14,2590.408217
249.0,15,2592.217736
252.0,15,2594.660992
256.0,15,2597.097538
256.0,14,2599.464967
843.0,93,2612.556688
253.0,14,2614.60307
257.0,14,2616.741735
253.0,14,2618.000135
257.0,14,2620.137328
257.0,14,2622.097457
246.0,16,2624.294597
257.0,14,2626.343992
257.0,14,2627.754457
257.0,14,2629.765547
257.0,14,2631.841667
257.0,14,2633.814218
257.0,14,2635.190113
249.0,17,2638.058238
257.0,14,2639.357957
257.0,14,2641.399366
257.0,14,2643.406712
246.0,17,2645.653366
253.0,14,2648.006429
257.0,14,2649.447892
253.0,14,2651.839128
257.0,14,2654.254273
257.0,14,2656.716079
257.0,14,2658.201613
253.0,15,2660.658536
637.0,135,2681.916731
244.0,17,2684.494987
254.0,15,2686.935953
255.0,15,2689.34558
609.0,45,2696.730735
257.0,14,2698.221368
257.0,14,2700.659115
254.0,15,2703.151925
843.0,93,2718.141648
244.0,19,2720.758987
249.0,17,2723.348178
252.0,15,2726.177891
253.0,14,2728.695215
257.0,14,2731.081227
253.0,14,2732.613978
253.0,14,2735.081483
253.0,14,2737.677515
257.0,14,2740.136291
257.0,14,2741.765607
255.0,16,2744.341514
257.0,14,2746.897561
843.0,98,2762.68046
257.0,14,2765.072899
257.0,14,2767.616882
257.0,14,2769.930866
257.0,14,2771.531104
251.0,16,2773.972509
245.0,18,2777.470629
257.0,14,2779.173353
256.0,14,2781.542866
654.0,43,2788.06672
257.0,14,2790.41178
257.0,14,2792.896326
257.0,14,2795.319912
257.0,14,2796.870552
257.0,14,2799.351116
257.0,14,2801.710782
257.0,14,2804.171629
843.0,92,2818.956246
244.0,16,2821.56061
245.0,16,2824.143258
257.0,14,2826.605658
254.0,14,2829.104367
257.0,14,2830.619348
257.0,14,2833.111834
257.0,14,2835.497576
257.0,14,2838.144448
247.0,15,2840.726137
257.0,14,2842.291957
257.0,15,2844.883378
257.0,15,2847.388838
257.0,15,2849.914654
249.0,17,2852.513883
257.0,14,2854.948417
257.0,14,2857.426076
249.0,14,2858.973578
257.0,14,2861.407673
257.0,14,2863.816229
257.0,14,2866.358747
257.0,14,2867.959904
257.0,14,2870.458858
257.0,14,2872.963213
257.0,14,2875.392372
257.0,14,2877.048655
249.0,14,2879.57103
257.0,14,2882.196175
257.0,14,2884.659926
252.0,14,2886.415234
249.0,16,2889.25634
256.0,14,2891.661352
257.0,14,2894.180102
257.0,15,2896.724288
843.0,110,2914.602063
257.0,14,2919.122495
257.0,14,2921.495113
257.0,14,2923.980396
257.0,14,2925.472009
257.0,14,2928.135463
254.0,15,2930.631456
257.0,14,2933.064226
257.0,14,2935.757289
244.0,16,2938.288664
257.0,14,2939.878539
257.0,15,2942.409949
257.0,14,2944.918137
257.0,14,2947.407666
624.0,56,2956.470449
257.0,14,2958.024877
253.0,14,2960.551745
256.0,14,2962.999226
253.0,14,2965.526664
1377.0,116,2983.999927
257.0,14,2986.443877
257.0,14,2988.959938
256.0,14,2990.403174
254.0,14,2992.910255
257.0,14,2995.359305
257.0,14,2998.370466
252.0,15,3000.9598
257.0,14,3002.47893
257.0,14,3005.143322
651.0,49,3013.931949
245.0,15,3016.718969
257.0,14,3019.380507
257.0,14,3021.870903
257.0,14,3023.371989
252.0,15,3025.91695
257.0,14,3028.26092
257.0,14,3030.799954
625.0,54,3038.854974
255.0,14,3041.22833
253.0,14,3043.722332
252.0,16,3046.262908
246.0,18,3049.02497
254.0,14,3051.486435
252.0,15,3053.985229
257.0,14,3056.448836
257.0,14,3058.075454
244.0,16,3060.638019
257.0,14,3063.293117
257.0,14,3065.767433
257.0,14,3068.231031
257.0,14,3069.823332
256.0,15,3072.324702
255.0,14,3074.859408
843.0,92,3089.484901
257.0,14,3091.992796
257.0,15,3094.527774
257.0,14,3096.991435
257.0,14,3099.49459
257.0,14,3101.057642
257.0,14,3103.443274
257.0,14,3105.838481
254.0,16,3108.431093
257.0,14,3110.877547
257.0,14,3112.504637
253.0,14,3114.701067
257.0,14,3116.927221
251.0,14,3119.144229
655.0,41,3124.86064
257.0,14,3126.202209
257.0,14,3128.356999
257.0,14,3130.360552
627.0,69,3141.034764
252.0,15,3143.303596
843.0,96,3160.134405
257.0,14,3162.546445
257.0,14,3165.143465
642.0,105,3182.239041
257.0,14,3184.611359
257.0,14,3187.097882
253.0,14,3188.672954
257.0,14,3191.153413
257.0,14,3193.510068
247.0,15,3196.130069
257.0,14,3197.642512
257.0,14,3200.119554
257.0,14,3202.624622
257.0,14,3205.179283
257.0,14,3206.838342
256.0,15,3209.357975
843.0,125,3230.213625
257.0,14,3232.747049
245.0,16,3235.359396
257.0,14,3236.951234
257.0,14,3239.447838
647.0,46,3247.384524
257.0,14,3249.79501
256.0,15,3252.306328
257.0,14,3253.928136
1071.0,183,3285.645257
257.0,15,3288.251842
646.0,53,3297.409235
643.0,89,3311.953693
257.0,14,3314.430314
256.0,14,3315.948028
257.0,14,3318.362945
257.0,14,3320.678808
627.0,41,3327.101472
245.0,15,3329.526856
257.0,14,3331.96816
257.0,14,3333.481777
257.0,14,3335.951802
257.0,14,3338.079195
256.0,14,3340.471193
253.0,14,3342.016784
257.0,14,3344.49591
257.0,14,3346.962606
257.0,14,3349.253702
257.0,14,3350.822334
257.0,14,3353.249586
257.0,14,3355.734532
251.0,15,3358.192196
641.0,74,3370.058828
252.0,14,3372.559434
257.0,14,3374.091242
257.0,14,3376.539168
257.0,14,3378.965497
253.0,14,3381.485217
255.0,14,3383.076657
256.0,15,3385.60378
257.0,14,3388.07879
257.0,14,3390.421667
247.0,15,3393.027289
257.0,14,3394.648814
257.0,14,3397.157852
